148 40385704 Nov  5 13:55:54 2015
149 40409296 Nov  5 13:55:55 2015
150 40377504 Nov  5 13:55:56 2015
151 40404300 Nov  5 13:55:57 2015
152 40419496 Nov  5 13:55:58 2015
153 40379100 Nov  5 13:55:59 2015
154 40304104 Nov  5 13:56:00 2015
155 40305404 Nov  5 13:56:01 2015
156 40375204 Nov  5 13:56:02 2015
157 40342504 Nov  5 13:56:03 2015
158 40297500 Nov  5 13:56:04 2015
159 39673800 Nov  5 13:56:05 2015
160 7866230 Nov  5 13:56:06 2015
161 7855620.5 Nov  5 13:56:07 2015
162 7850980.5 Nov  5 13:56:08 2015
163 7860730 Nov  5 13:56:09 2015
164 7862970 Nov  5 13:56:10 2015
165 7850320.5 Nov  5 13:56:11 2015
166 7864060.5 Nov  5 13:56:12 2015
167 7860340 Nov  5 13:56:13 2015
168 7866320 Nov  5 13:56:14 2015
169 7857640.5 Nov  5 13:56:15 2015
170 7864940 Nov  5 13:56:16 2015
171 7864700.5 Nov  5 13:56:17 2015
172 7851780.5 Nov  5 13:56:18 2015
173 7857150.5 Nov  5 13:56:19 2015
174 7860690 Nov  5 13:56:20 2015
175 7851850.5 Nov  5 13:56:21 2015
176 7856890.5 Nov  5 13:56:22 2015
177 7860230 Nov  5 13:56:23 2015
178 7853460.5 Nov  5 13:56:24 2015
179 7858400.5 Nov  5 13:56:25 2015
180 7861320 Nov  5 13:56:26 2015
181 7856180.5 Nov  5 13:56:26 2015
182 7851460.5 Nov  5 13:56:28 2015
183 7856980.5 Nov  5 13:56:28 2015
184 7854960.5 Nov  5 13:56:29 2015
185 7858030.5 Nov  5 13:56:30 2015
186 7870570.5 Nov  5 13:56:31 2015
187 7863560 Nov  5 13:56:32 2015
188 7861150.5 Nov  5 13:56:33 2015
189 7860260 Nov  5 13:56:34 2015
190 7860340 Nov  5 13:56:35 2015
191 7865390.5 Nov  5 13:56:36 2015
192 7855800.5 Nov  5 13:56:37 2015
193 7851490.5 Nov  5 13:56:38 2015
194 7845940 Nov  5 13:56:39 2015
195 7858130.5 Nov  5 13:56:40 2015
196 15135900 Nov  5 13:56:41 2015
197 15573400 Nov  5 13:56:42 2015
198 15595299 Nov  5 13:56:43 2015
199 15614300 Nov  5 13:56:44 2015
200 15597999 Nov  5 13:56:45 2015
201 15611200 Nov  5 13:56:46 2015
202 15602000 Nov  5 13:56:47 2015
203 15619200 Nov  5 13:56:48 2015
204 15608900 Nov  5 13:56:49 2015
205 15599200 Nov  5 13:56:50 2015
206 15604599 Nov  5 13:56:51 2015
207 15619000 Nov  5 13:56:52 2015
208 15619800 Nov  5 13:56:53 2015
209 15605899 Nov  5 13:56:54 2015
210 15612600 Nov  5 13:56:55 2015
211 15617400 Nov  5 13:56:56 2015
212 15617200 Nov  5 13:56:57 2015
213 15611800 Nov  5 13:56:58 2015
214 15594299 Nov  5 13:56:59 2015
215 15672499 Nov  5 13:57:00 2015
216 15773600 Nov  5 13:57:01 2015
217 15589499 Nov  5 13:57:02 2015
218 15598699 Nov  5 13:57:02 2015
219 15602000 Nov  5 13:57:04 2015
220 15596498 Nov  5 13:57:04 2015
221 15591199 Nov  5 13:57:05 2015
222 15591999 Nov  5 13:57:06 2015
223 15602000 Nov  5 13:57:07 2015
224 15596799 Nov  5 13:57:08 2015
225 15583600 Nov  5 13:57:09 2015
226 15586200 Nov  5 13:57:10 2015
227 15602000 Nov  5 13:57:11 2015
228 15601300 Nov  5 13:57:12 2015
229 15593599 Nov  5 13:57:13 2015
230 15598199 Nov  5 13:57:14 2015
231 15605999 Nov  5 13:57:15 2015
232 15608499 Nov  5 13:57:16 2015
233 15600499 Nov  5 13:57:17 2015
234 15592499 Nov  5 13:57:18 2015
235 15588700 Nov  5 13:57:20 2015
236 15596699 Nov  5 13:57:22 2015
237 15580800 Nov  5 13:57:23 2015
238 15592899 Nov  5 13:57:23 2015
239 15608599 Nov  5 13:57:24 2015
240 15600400 Nov  5 13:57:24 2015
241 15262101 Nov  5 13:57:25 2015
242 15262101 Nov  5 13:57:26 2015
243 7859400.5 Nov  5 13:57:27 2015
244 7859260 Nov  5 13:57:28 2015
245 7861700 Nov  5 13:57:29 2015
246 7852000 Nov  5 13:57:30 2015
247 7858520.5 Nov  5 13:57:31 2015
248 7859450.5 Nov  5 13:57:32 2015
249 7866860.5 Nov  5 13:57:33 2015
250 7857750.5 Nov  5 13:57:34 2015
251 7857510.5 Nov  5 13:57:35 2015
252 7859450.5 Nov  5 13:57:36 2015
253 7855130.5 Nov  5 13:57:37 2015
254 7856620.5 Nov  5 13:57:38 2015
255 7842480 Nov  5 13:57:39 2015
256 7861110 Nov  5 13:57:40 2015
257 7847540.5 Nov  5 13:57:40 2015
258 7842600 Nov  5 13:57:42 2015
259 7853600 Nov  5 13:57:42 2015
260 7856860.5 Nov  5 13:57:43 2015
261 7855191 Nov  5 13:57:44 2015
262 7850030.5 Nov  5 13:57:45 2015
263 7854250.5 Nov  5 13:57:46 2015
264 7860380 Nov  5 13:57:47 2015
265 7850440.5 Nov  5 13:57:48 2015
266 7850820.5 Nov  5 13:57:49 2015
267 7860560.5 Nov  5 13:57:50 2015
268 7862940 Nov  5 13:57:51 2015
269 7852900 Nov  5 13:57:52 2015
270 7863350 Nov  5 13:57:53 2015
271 7859450.5 Nov  5 13:57:54 2015
272 7862370 Nov  5 13:57:55 2015
273 7849470 Nov  5 13:57:56 2015
274 7848890.5 Nov  5 13:57:57 2015
275 7858510.5 Nov  5 13:57:58 2015
276 7855040.5 Nov  5 13:57:59 2015
277 7851040.5 Nov  5 13:58:00 2015
278 7848670 Nov  5 13:58:01 2015
279 7910400.5 Nov  5 13:58:02 2015
280 7861840 Nov  5 13:58:03 2015
281 7855530.5 Nov  5 13:58:04 2015
282 7844440.5 Nov  5 13:58:05 2015
283 7846740 Nov  5 13:58:06 2015
284 7855900.5 Nov  5 13:58:07 2015
285 7850080.5 Nov  5 13:58:08 2015
286 7847950 Nov  5 13:58:09 2015
287 7171800 Nov  5 13:58:10 2015
288 3984820 Nov  5 13:58:11 2015
289 3981089.75 Nov  5 13:58:12 2015
290 3979090 Nov  5 13:58:13 2015
291 3980940 Nov  5 13:58:14 2015
292 3985550.25 Nov  5 13:58:15 2015
293 3980030 Nov  5 13:58:15 2015
294 3980140 Nov  5 13:58:17 2015
295 3985510 Nov  5 13:58:17 2015
296 3989060.25 Nov  5 13:58:18 2015
297 3984560 Nov  5 13:58:19 2015
298 3985300 Nov  5 13:58:20 2015
299 3985400.25 Nov  5 13:58:21 2015
300 3996880 Nov  5 13:58:22 2015
301 3988570 Nov  5 13:58:23 2015
302 3986490 Nov  5 13:58:24 2015
303 3983250.25 Nov  5 13:58:25 2015
304 3998589.75 Nov  5 13:58:26 2015
305 3986520 Nov  5 13:58:27 2015
306 3986470.25 Nov  5 13:58:28 2015
307 3981589.75 Nov  5 13:58:29 2015
308 3985400.25 Nov  5 13:58:30 2015
309 3985810 Nov  5 13:58:31 2015
310 3987330 Nov  5 13:58:32 2015
311 3984870 Nov  5 13:58:33 2015
312 3984789.75 Nov  5 13:58:34 2015
313 7687010 Nov  5 13:58:35 2015
314 7868230 Nov  5 13:58:36 2015
315 7856320.5 Nov  5 13:58:37 2015
316 7861770 Nov  5 13:58:38 2015
317 7849830 Nov  5 13:58:39 2015
318 7855270.5 Nov  5 13:58:41 2015
319 7848200 Nov  5 13:58:41 2015
320 7855500.5 Nov  5 13:58:42 2015
321 7853010 Nov  5 13:58:43 2015
322 7859460.5 Nov  5 13:58:44 2015
323 7857580.5 Nov  5 13:58:45 2015
