146 8013930.5 Nov  5 14:18:47 2015
147 8029230 Nov  5 14:18:48 2015
148 8136579.5 Nov  5 14:18:49 2015
149 8029150 Nov  5 14:18:50 2015
150 8022770 Nov  5 14:18:51 2015
151 8019950 Nov  5 14:18:52 2015
152 8020230.5 Nov  5 14:18:53 2015
153 8032889.5 Nov  5 14:18:54 2015
154 8023981 Nov  5 14:18:55 2015
155 8027361 Nov  5 14:18:56 2015
156 8021730.5 Nov  5 14:18:57 2015
157 8021520.5 Nov  5 14:18:58 2015
158 8003680 Nov  5 14:18:59 2015
159 7995750.5 Nov  5 14:19:00 2015
160 8026499.5 Nov  5 14:19:01 2015
161 8034629 Nov  5 14:19:02 2015
162 8051881 Nov  5 14:19:03 2015
163 8023161 Nov  5 14:19:04 2015
164 8037429 Nov  5 14:19:05 2015
165 8047720 Nov  5 14:19:06 2015
166 8020520 Nov  5 14:19:07 2015
167 8027770 Nov  5 14:19:08 2015
168 8033689.5 Nov  5 14:19:09 2015
169 8039809 Nov  5 14:19:10 2015
170 8030260 Nov  5 14:19:11 2015
171 8029361 Nov  5 14:19:12 2015
172 8030629 Nov  5 14:19:12 2015
173 8024620 Nov  5 14:19:14 2015
174 8020500 Nov  5 14:19:14 2015
175 8013261 Nov  5 14:19:15 2015
176 8055120.5 Nov  5 14:19:16 2015
177 8022210 Nov  5 14:19:17 2015
178 8019260.5 Nov  5 14:19:18 2015
179 7998300 Nov  5 14:19:19 2015
180 8026529.5 Nov  5 14:19:20 2015
181 8010990 Nov  5 14:19:21 2015
182 8006880 Nov  5 14:19:22 2015
183 7993750 Nov  5 14:19:23 2015
184 7994230.5 Nov  5 14:19:24 2015
185 7995560.5 Nov  5 14:19:25 2015
186 8002390 Nov  5 14:19:26 2015
187 8021550 Nov  5 14:19:27 2015
188 7999760 Nov  5 14:19:28 2015
189 8014980.5 Nov  5 14:19:29 2015
190 7996420.5 Nov  5 14:19:30 2015
191 8005910 Nov  5 14:19:31 2015
192 7994770.5 Nov  5 14:19:32 2015
193 7998860.5 Nov  5 14:19:33 2015
194 7996240 Nov  5 14:19:34 2015
195 7996250 Nov  5 14:19:35 2015
196 8000429 Nov  5 14:19:36 2015
197 8000580 Nov  5 14:19:37 2015
198 7995210 Nov  5 14:19:38 2015
199 7996610 Nov  5 14:19:39 2015
200 7997130.5 Nov  5 14:19:40 2015
201 8055480 Nov  5 14:19:41 2015
202 8101440.5 Nov  5 14:19:42 2015
203 8014580 Nov  5 14:19:43 2015
204 8014409 Nov  5 14:19:44 2015
205 8019950 Nov  5 14:19:45 2015
206 8032439 Nov  5 14:19:46 2015
207 8021090.5 Nov  5 14:19:47 2015
208 8023361 Nov  5 14:19:48 2015
209 8028970.5 Nov  5 14:19:49 2015
210 8022050 Nov  5 14:19:50 2015
211 8025120.5 Nov  5 14:19:50 2015
212 8018890.5 Nov  5 14:19:52 2015
213 8028810.5 Nov  5 14:19:52 2015
214 8031160.5 Nov  5 14:19:53 2015
215 8030360 Nov  5 14:19:54 2015
216 8011460.5 Nov  5 14:19:55 2015
217 8025660.5 Nov  5 14:19:56 2015
218 7999540.5 Nov  5 14:19:57 2015
219 7980830 Nov  5 14:19:58 2015
220 7982209.5 Nov  5 14:19:59 2015
221 7991590.5 Nov  5 14:20:00 2015
222 7992170.5 Nov  5 14:20:01 2015
223 7997790.5 Nov  5 14:20:02 2015
224 8005930 Nov  5 14:20:03 2015
225 8010120.5 Nov  5 14:20:04 2015
226 8023010.5 Nov  5 14:20:05 2015
227 8022460 Nov  5 14:20:06 2015
228 8012240.5 Nov  5 14:20:07 2015
229 8006920 Nov  5 14:20:08 2015
230 8007640 Nov  5 14:20:09 2015
231 8015210 Nov  5 14:20:10 2015
232 8026129.5 Nov  5 14:20:11 2015
233 7999550.5 Nov  5 14:20:12 2015
234 7988090 Nov  5 14:20:13 2015
235 8000399.5 Nov  5 14:20:14 2015
236 8049189.5 Nov  5 14:20:15 2015
237 8020370.5 Nov  5 14:20:16 2015
238 8013301 Nov  5 14:20:17 2015
239 8004009 Nov  5 14:20:18 2015
240 8005850 Nov  5 14:20:19 2015
241 8013429.5 Nov  5 14:20:20 2015
242 8012180.5 Nov  5 14:20:21 2015
243 8020850 Nov  5 14:20:22 2015
244 8014789.5 Nov  5 14:20:23 2015
245 8020080.5 Nov  5 14:20:24 2015
246 8005820.5 Nov  5 14:20:25 2015
247 8007889.5 Nov  5 14:20:25 2015
248 8009240 Nov  5 14:20:27 2015
249 8009380.5 Nov  5 14:20:27 2015
250 8019700 Nov  5 14:20:28 2015
251 8006649 Nov  5 14:20:29 2015
252 8011010 Nov  5 14:20:30 2015
253 8003509.5 Nov  5 14:20:31 2015
254 8012429 Nov  5 14:20:32 2015
255 8011670 Nov  5 14:20:33 2015
256 8024500 Nov  5 14:20:34 2015
257 8026310 Nov  5 14:20:35 2015
258 8022260.5 Nov  5 14:20:36 2015
259 8027870 Nov  5 14:20:37 2015
260 8032629 Nov  5 14:20:38 2015
261 8029270 Nov  5 14:20:39 2015
262 8027330.5 Nov  5 14:20:40 2015
263 8014689.5 Nov  5 14:20:41 2015
264 8002509 Nov  5 14:20:42 2015
265 8006659.5 Nov  5 14:20:43 2015
266 8028230.5 Nov  5 14:20:44 2015
267 8033869.5 Nov  5 14:20:45 2015
268 8015110 Nov  5 14:20:46 2015
269 8010260.5 Nov  5 14:20:47 2015
270 8020870 Nov  5 14:20:48 2015
271 8075169.5 Nov  5 14:20:49 2015
272 8021750.5 Nov  5 14:20:50 2015
273 8013600.5 Nov  5 14:20:51 2015
274 8010760.5 Nov  5 14:20:52 2015
275 8018390.5 Nov  5 14:20:53 2015
276 8022700.5 Nov  5 14:20:54 2015
277 8026589.5 Nov  5 14:20:55 2015
278 8037820 Nov  5 14:20:56 2015
279 8021070.5 Nov  5 14:20:57 2015
280 8026960.5 Nov  5 14:20:58 2015
281 8019600 Nov  5 14:20:59 2015
282 8037040 Nov  5 14:21:00 2015
283 8005399.5 Nov  5 14:21:01 2015
284 8012680 Nov  5 14:21:02 2015
285 8008270.5 Nov  5 14:21:02 2015
286 8009639.5 Nov  5 14:21:04 2015
287 8015220.5 Nov  5 14:21:04 2015
288 8021661 Nov  5 14:21:05 2015
289 8017629.5 Nov  5 14:21:06 2015
290 8011870.5 Nov  5 14:21:07 2015
291 8017680 Nov  5 14:21:08 2015
292 8018910.5 Nov  5 14:21:09 2015
293 8014449 Nov  5 14:21:10 2015
294 8017620 Nov  5 14:21:11 2015
295 8013910.5 Nov  5 14:21:12 2015
296 8011910.5 Nov  5 14:21:13 2015
297 8026709.5 Nov  5 14:21:14 2015
298 8025760.5 Nov  5 14:21:15 2015
299 8038549.5 Nov  5 14:21:16 2015
300 8016140 Nov  5 14:21:17 2015
301 8024740 Nov  5 14:21:18 2015
302 8055690 Nov  5 14:21:19 2015
303 8025970.5 Nov  5 14:21:20 2015
304 8075449 Nov  5 14:21:21 2015
305 8043720 Nov  5 14:21:22 2015
306 8026180.5 Nov  5 14:21:23 2015
307 8019569.5 Nov  5 14:21:24 2015
308 8015800.5 Nov  5 14:21:25 2015
309 8026270 Nov  5 14:21:26 2015
310 8019769.5 Nov  5 14:21:27 2015
311 8018409.5 Nov  5 14:21:28 2015
312 8015381 Nov  5 14:21:29 2015
313 8019709.5 Nov  5 14:21:30 2015
314 8016780 Nov  5 14:21:31 2015
315 8019809.5 Nov  5 14:21:32 2015
316 8009160 Nov  5 14:21:33 2015
317 8009449 Nov  5 14:21:34 2015
318 8009449 Nov  5 14:21:35 2015
319 8017840.5 Nov  5 14:21:36 2015
320 8015910 Nov  5 14:21:37 2015
321 8016309.5 Nov  5 14:21:38 2015
322 8008370.5 Nov  5 14:21:39 2015
323 8013140.5 Nov  5 14:21:40 2015
324 8011990.5 Nov  5 14:21:41 2015
325 8019260.5 Nov  5 14:21:41 2015
326 8009249.5 Nov  5 14:21:42 2015
327 8026100 Nov  5 14:21:43 2015
328 8022120.5 Nov  5 14:21:44 2015
329 8025560.5 Nov  5 14:21:45 2015
330 8017170 Nov  5 14:21:46 2015
331 8019880.5 Nov  5 14:21:47 2015
332 8026669.5 Nov  5 14:21:48 2015
333 8062770 Nov  5 14:21:49 2015
334 8008429.5 Nov  5 14:21:50 2015
335 8021681 Nov  5 14:21:51 2015
336 8012000 Nov  5 14:21:52 2015
337 8022990 Nov  5 14:21:53 2015
338 8016439.5 Nov  5 14:21:54 2015
339 8016559.5 Nov  5 14:21:55 2015
340 8012260.5 Nov  5 14:21:56 2015
341 8020890 Nov  5 14:21:57 2015
342 8015330.5 Nov  5 14:21:58 2015
343 8019260.5 Nov  5 14:21:59 2015
344 8022549.5 Nov  5 14:22:00 2015
345 8018670 Nov  5 14:22:01 2015
346 8020840.5 Nov  5 14:22:02 2015
347 8025190.5 Nov  5 14:22:03 2015
348 8040960.5 Nov  5 14:22:04 2015
349 8017980.5 Nov  5 14:22:05 2015
350 8019300.5 Nov  5 14:22:06 2015
351 8028861 Nov  5 14:22:07 2015
352 8015980.5 Nov  5 14:22:08 2015
353 8017080.5 Nov  5 14:22:09 2015
354 8026009.5 Nov  5 14:22:10 2015
355 8019580 Nov  5 14:22:11 2015
356 8024990 Nov  5 14:22:12 2015
357 8024220.5 Nov  5 14:22:13 2015
358 8014220 Nov  5 14:22:14 2015
359 8013550 Nov  5 14:22:15 2015
360 8018321 Nov  5 14:22:16 2015
361 8018241 Nov  5 14:22:17 2015
362 8023101 Nov  5 14:22:17 2015
363 8016980 Nov  5 14:22:18 2015
364 8017110 Nov  5 14:22:19 2015
365 8016609 Nov  5 14:22:20 2015
366 8015090 Nov  5 14:22:21 2015
367 8019890 Nov  5 14:22:22 2015
368 8027950.5 Nov  5 14:22:23 2015
369 8022400 Nov  5 14:22:24 2015
370 8029569.5 Nov  5 14:22:25 2015
371 8025370.5 Nov  5 14:22:26 2015
372 8033700 Nov  5 14:22:27 2015
373 8040240.5 Nov  5 14:22:28 2015
374 8043250 Nov  5 14:22:29 2015
375 8017070 Nov  5 14:22:30 2015
376 8024520 Nov  5 14:22:31 2015
377 8032280 Nov  5 14:22:32 2015
378 8052589.5 Nov  5 14:22:33 2015
379 8040290 Nov  5 14:22:34 2015
380 8037149.5 Nov  5 14:22:35 2015
381 8037679.5 Nov  5 14:22:36 2015
382 8055200.5 Nov  5 14:22:37 2015
383 8033100 Nov  5 14:22:38 2015
384 8068990.5 Nov  5 14:22:39 2015
385 8027050 Nov  5 14:22:40 2015
386 8029270 Nov  5 14:22:41 2015
387 8020180.5 Nov  5 14:22:42 2015
388 8029500 Nov  5 14:22:43 2015
389 8023790.5 Nov  5 14:22:44 2015
390 8033849.5 Nov  5 14:22:45 2015
391 8037209.5 Nov  5 14:22:46 2015
392 8022070 Nov  5 14:22:47 2015
393 8021021 Nov  5 14:22:48 2015
394 8030180 Nov  5 14:22:49 2015
395 8076448.5 Nov  5 14:22:50 2015
396 8062660 Nov  5 14:22:51 2015
397 8033809.5 Nov  5 14:22:51 2015
398 8047080 Nov  5 14:22:53 2015
399 8035399.5 Nov  5 14:22:53 2015
400 8023030.5 Nov  5 14:22:55 2015
401 8032739.5 Nov  5 14:22:55 2015
402 8042120 Nov  5 14:22:56 2015
403 8028161 Nov  5 14:22:57 2015
404 8035429 Nov  5 14:22:58 2015
405 8023410 Nov  5 14:22:59 2015
406 8023010.5 Nov  5 14:23:00 2015
407 8026640 Nov  5 14:23:01 2015
408 8024709.5 Nov  5 14:23:02 2015
409 8030380 Nov  5 14:23:03 2015
410 8033609.5 Nov  5 14:23:04 2015
411 8026720 Nov  5 14:23:05 2015
412 8035089.5 Nov  5 14:23:06 2015
413 8034049 Nov  5 14:23:07 2015
414 8034019.5 Nov  5 14:23:08 2015
415 8042820 Nov  5 14:23:09 2015
416 8045809.5 Nov  5 14:23:10 2015
417 8053660.5 Nov  5 14:23:11 2015
418 8034749 Nov  5 14:23:12 2015
419 8063070.5 Nov  5 14:23:13 2015
420 8042549 Nov  5 14:23:14 2015
421 8057600 Nov  5 14:23:15 2015
422 8044599.5 Nov  5 14:23:16 2015
423 8041600 Nov  5 14:23:17 2015
424 8030280 Nov  5 14:23:18 2015
425 8033600 Nov  5 14:23:19 2015
426 8029060.5 Nov  5 14:23:20 2015
427 8038290 Nov  5 14:23:21 2015
428 8040700 Nov  5 14:23:22 2015
429 8046300 Nov  5 14:23:23 2015
430 8044689 Nov  5 14:23:24 2015
431 8041540 Nov  5 14:23:25 2015
432 8033680 Nov  5 14:23:26 2015
433 8038190 Nov  5 14:23:27 2015
434 8078860.5 Nov  5 14:23:28 2015
435 8098990.5 Nov  5 14:23:29 2015
436 8031790 Nov  5 14:23:30 2015
437 8040950 Nov  5 14:23:31 2015
438 8049320 Nov  5 14:23:31 2015
439 8058409.5 Nov  5 14:23:32 2015
440 8042689.5 Nov  5 14:23:33 2015
441 8071810 Nov  5 14:23:34 2015
442 8047769.5 Nov  5 14:23:35 2015
443 8040449 Nov  5 14:23:36 2015
444 8028570 Nov  5 14:23:37 2015
445 8037780 Nov  5 14:23:38 2015
446 8045170 Nov  5 14:23:39 2015
447 8038990 Nov  5 14:23:40 2015
448 8042469 Nov  5 14:23:41 2015
449 8037709 Nov  5 14:23:42 2015
450 8031280.5 Nov  5 14:23:43 2015
451 8045820 Nov  5 14:23:44 2015
452 8046509 Nov  5 14:23:45 2015
453 8034609 Nov  5 14:23:46 2015
454 8038350 Nov  5 14:23:47 2015
455 8045310 Nov  5 14:23:48 2015
456 8035519.5 Nov  5 14:23:49 2015
457 8043090 Nov  5 14:23:50 2015
458 8092720 Nov  5 14:23:51 2015
459 8048030 Nov  5 14:23:52 2015
460 8048589.5 Nov  5 14:23:53 2015
461 8064780 Nov  5 14:23:54 2015
462 8040459.5 Nov  5 14:23:55 2015
463 8045940.5 Nov  5 14:23:56 2015
464 8040689.5 Nov  5 14:23:57 2015
465 8042419.5 Nov  5 14:23:58 2015
466 8034899.5 Nov  5 14:23:59 2015
467 8055720.5 Nov  5 14:24:00 2015
468 8041690 Nov  5 14:24:01 2015
469 8042949.5 Nov  5 14:24:02 2015
470 8061410 Nov  5 14:24:03 2015
471 8036119.5 Nov  5 14:24:04 2015
472 8089860 Nov  5 14:24:05 2015
473 8056129.5 Nov  5 14:24:06 2015
474 8052040 Nov  5 14:24:07 2015
475 8057680 Nov  5 14:24:07 2015
476 8045880.5 Nov  5 14:24:08 2015
477 8049409 Nov  5 14:24:09 2015
478 8043449.5 Nov  5 14:24:10 2015
479 8056449 Nov  5 14:24:11 2015
480 8057060 Nov  5 14:24:12 2015
481 8054960.5 Nov  5 14:24:13 2015
482 8063201 Nov  5 14:24:14 2015
483 8043090 Nov  5 14:24:15 2015
484 8052769.5 Nov  5 14:24:16 2015
485 8058460 Nov  5 14:24:17 2015
486 8049619.5 Nov  5 14:24:18 2015
487 8045190 Nov  5 14:24:19 2015
488 8046539.5 Nov  5 14:24:20 2015
489 8043140.5 Nov  5 14:24:21 2015
490 8046039.5 Nov  5 14:24:22 2015
491 8047280.5 Nov  5 14:24:23 2015
492 8042370 Nov  5 14:24:24 2015
493 8060509.5 Nov  5 14:24:25 2015
494 8051230.5 Nov  5 14:24:26 2015
495 8056029.5 Nov  5 14:24:27 2015
496 8059089.5 Nov  5 14:24:28 2015
