Day of year,Abhinav,Ross,Andrew,Mutual,Phase,Total
188,1,2,1,,0.5150684932,4
189,1,,4,,0.5178082192,5
190,3,1,3,,0.5205479452,7
191,1,,1,,0.5232876712,2
192,2,,2,,0.5260273973,4
193,3,1,,,0.5287671233,4
194,1,1,,,0.5315068493,2
195,3,2,1,,0.5342465753,6
196,,1,1,,0.5369863014,2
197,1,,,,0.5397260274,1
198,1,2,,,0.5424657534,3
199,,3,2,,0.5452054795,5
200,1,1,4,,0.5479452055,6
201,2,3,1,,0.5506849315,6
202,1,,,,0.5534246575,1
203,,1,,,0.5561643836,1
204,1,1,6,,0.5589041096,8
205,,,2,,0.5616438356,2
206,,1,2,,0.5643835616,3
207,2,1,1,,0.5671232877,4
208,2,1,2,,0.5698630137,5
209,2,,,,0.5726027397,2
210,1,,1,,0.5753424658,2
211,2,1,1,,0.5780821918,4
212,1,,3,,0.5808219178,4
213,,,1,,0.5835616438,1
214,3,1,2,,0.5863013699,6
215,,,1,,0.5890410959,1
216,2,1,,1,0.5917808219,2
217,,1,2,,0.5945205479,3
218,5,,2,1,0.597260274,6
219,,,3,,0.6,3
220,1,,1,,0.602739726,2
221,,,2,,0.6054794521,2
222,1,1,1,,0.6082191781,3
223,1,,1,,0.6109589041,2
224,2,,1,,0.6136986301,3
225,2,1,2,,0.6164383562,5
226,1,1,2,,0.6191780822,4
227,2,,,,0.6219178082,2
228,,,1,,0.6246575342,1
229,1,1,,,0.6273972603,2
230,1,,,,0.6301369863,1
231,2,1,1,,0.6328767123,4
232,1,,1,,0.6356164384,2
233,,,2,,0.6383561644,2
234,1,1,1,,0.6410958904,3
235,,2,,,0.6438356164,2
236,1,,3,,0.6465753425,4
237,2,,,,0.6493150685,2
238,3,2,1,,0.6520547945,6
239,1,1,2,2,0.6547945205,2
240,1,1,4,,0.6575342466,6
241,2,1,2,,0.6602739726,5
242,2,1,1,,0.6630136986,4
243,2,,1,,0.6657534247,3
244,3,1,1,,0.6684931507,5
245,1,,2,,0.6712328767,3
246,2,1,3,,0.6739726027,6
247,,3,,,0.6767123288,3
248,2,2,1,,0.6794520548,5
249,2,,,,0.6821917808,2
250,,2,1,,0.6849315068,3
251,1,2,4,,0.6876712329,7
252,2,,2,2,0.6904109589,2
253,1,2,2,,0.6931506849,5
254,1,,1,,0.695890411,2
255,1,,1,,0.698630137,2
256,2,,1,,0.701369863,3
257,1,,2,,0.704109589,3
258,2,,2,,0.7068493151,4
259,,,1,,0.7095890411,1
260,1,1,2,,0.7123287671,4
261,2,1,,,0.7150684932,3
262,,2,1,,0.7178082192,3
263,,1,1,,0.7205479452,2
264,,,1,,0.7232876712,1
265,1,,2,,0.7260273973,3
266,2,1,4,1,0.7287671233,6
267,2,,1,,0.7315068493,3
268,1,1,1,1,0.7342465753,2
269,1,,,,0.7369863014,1
270,,3,3,,0.7397260274,6
271,,1,1,,0.7424657534,2
272,,1,2,,0.7452054795,3
273,2,1,1,,0.7479452055,4
274,,,,,0.7506849315,0
275,1,,1,,0.7534246575,2
276,5,1,2,,0.7561643836,8
277,2,,6,,0.7589041096,8
278,1,,,,0.7616438356,1
279,,1,4,,0.7643835616,5
280,1,,3,,0.7671232877,4
281,1,,,,0.7698630137,1
282,1,,2,,0.7726027397,3
283,2,1,2,,0.7753424658,5
284,,,2,1,0.7780821918,1
285,3,1,2,,0.7808219178,6
286,2,,1,,0.7835616438,3
287,1,,,,0.7863013699,1
288,1,2,,,0.7890410959,3
289,1,2,,,0.7917808219,3
290,,1,,,0.7945205479,1
291,3,,1,,0.797260274,4
292,3,2,,,0.8,5
293,2,1,2,2,0.802739726,3
294,1,2,,,0.8054794521,3
295,2,,,,0.8082191781,2
296,4,,,,0.8109589041,4
297,1,,3,,0.8136986301,4
298,1,,2,,0.8164383562,3
299,2,1,1,,0.8191780822,4
300,,,1,,0.8219178082,1
301,2,1,4,,0.8246575342,7
302,,2,1,,0.8273972603,3
303,2,1,,,0.8301369863,3
304,,,1,,0.8328767123,1
305,1,1,,,0.8356164384,2
306,1,1,4,,0.8383561644,6
307,0,,2,,0.8410958904,2
308,0,1,1,,0.8438356164,2
309,3,1,1,,0.8465753425,5
310,,,2,,0.8493150685,2
311,,,,,0.8520547945,0
312,1,,,,0.8547945205,1
313,1,1,1,,0.8575342466,3
314,5,2,,,0.8602739726,7
315,2,1,,,0.8630136986,3
316,2,1,2,,0.8657534247,5
317,1,,1,,0.8684931507,2
318,2,1,1,,0.8712328767,4
319,1,,1,,0.8739726027,2
320,1,1,2,,0.8767123288,4
321,,1,2,,0.8794520548,3
322,2,,2,,0.8821917808,4
323,3,2,2,1,0.8849315068,6
324,2,,,,0.8876712329,2
325,0,,,,0.8904109589,0
326,3,,2,,0.8931506849,5
327,,1,,,0.895890411,1
328,2,1,1,,0.898630137,4
329,3,,,,0.901369863,3
330,2,1,2,,0.904109589,5
331,2,2,1,,0.9068493151,5
332,1,1,,,0.9095890411,2
333,1,1,1,,0.9123287671,3
334,,,1,,0.9150684932,1
335,1,1,1,,0.9178082192,3
336,1,,2,,0.9205479452,3
337,1,1,3,,0.9232876712,5
338,1,1,2,,0.9260273973,4
339,,2,1,,0.9287671233,3
340,1,1,3,,0.9315068493,5
341,3,3,,,0.9342465753,6
342,2,,2,,0.9369863014,4
343,1,,,,0.9397260274,1
344,2,,1,,0.9424657534,3
345,1,1,1,,0.9452054795,3
346,4,2,1,,0.9479452055,7
347,2,1,,,0.9506849315,3
348,,,1,,0.9534246575,1
349,,,,,0.9561643836,0
350,2,2,3,1,0.9589041096,6
351,3,1,1,,0.9616438356,5
352,,1,1,,0.9643835616,2
353,,,,,0.9671232877,0
354,2,,,,0.9698630137,2
355,2,1,2,,0.9726027397,5
356,2,1,,,0.9753424658,3
357,2,,2,,0.9780821918,4
358,1,2,2,,0.9808219178,5
359,3,1,,,0.9835616438,4
360,1,,,,0.9863013699,1
361,3,1,1,,0.9890410959,5
362,,1,2,,0.9917808219,3
363,1,,,,0.9945205479,1
364,1,1,1,,0.997260274,3
365,2,,2,,1,4
,455,283,438,20,,1156
